url,url_len,dom,dom_len,is_ip,tld,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,label
http://www.scimar.co.uk/,24,scimar.co.uk,12,0,co.uk,5,1,17,0,7,0,0,0,3,0,0,0.708333333,0,0.291666667,0,3,3.823934896,1,0,0
http://www.bmstu.ru/en/,23,bmstu.ru,8,0,ru,2,1,16,0,7,0,0,0,2,0,0,0.695652174,0,0.304347826,0,4,3.588354347,4,0,0
http://www.thecregroup.com/home.html,36,thecregroup.com,15,0,com,3,1,29,0,7,0,0,0,3,0,0,0.805555556,0,0.194444444,0,3,3.76633264,10,0,0
http://www.pirbright.ac.uk/,27,pirbright.ac.uk,15,0,ac.uk,5,1,20,0,7,0,0,0,3,0,0,0.740740741,0,0.259259259,0,3,3.754163428,1,0,0
https://www.systemsbiology.org/,31,systemsbiology.org,18,0,org,3,1,25,0,6,0,0,0,2,0,0,0.806451613,0,0.193548387,1,3,3.889049536,1,0,0
http://web.ncku.edu.tw/bin/home.php,35,ncku.edu.tw,11,0,edu.tw,6,1,26,0,9,0,0,0,4,0,0,0.742857143,0,0.257142857,0,4,3.900153017,13,0,0
http://www.profilarbed.com/,27,profilarbed.com,15,0,com,3,1,21,0,6,0,0,0,2,0,0,0.777777778,0,0.222222222,0,3,4.032303243,1,0,0
https://www.adivalor.fr/,24,adivalor.fr,11,0,fr,2,1,18,0,6,0,0,0,2,0,0,0.75,0,0.25,1,3,3.855388542,1,0,0
https://www.tuftsmedicalcenter.org/,35,tuftsmedicalcenter.org,22,0,org,3,1,29,0,6,0,0,0,2,0,0,0.828571429,0,0.171428571,1,3,4.161445789,1,0,0
"https://www.harvardpilgrim.org/portal/page?_pageid=1391,1&_dad=portal&_schema=PORTAL",84,harvardpilgrim.org,18,0,org,3,1,62,5,17,3,1,2,2,0,3,0.738095238,0.05952381,0.202380952,1,4,4.751680071,12,41,0
http://moh.gov.vn/sites/en-us/pages/home.aspx,45,moh.gov.vn,10,0,gov.vn,6,0,34,0,11,0,0,0,3,1,0,0.755555556,0,0.244444444,0,6,3.960878585,28,0,0
http://www.sierrawireless.com/,30,sierrawireless.com,18,0,com,3,1,24,0,6,0,0,0,2,0,0,0.8,0,0.2,0,3,3.806238929,1,0,0
http://www.nifhi.ru/,20,nifhi.ru,8,0,ru,2,1,14,0,6,0,0,0,2,0,0,0.7,0,0.3,0,3,3.446439345,1,0,0
http://www.ffa.se/,18,ffa.se,6,0,se,2,1,12,0,6,0,0,0,2,0,0,0.666666667,0,0.333333333,0,3,3.308270835,1,0,0
http://www.bam.de/en/index.htm,30,bam.de,6,0,de,2,1,22,0,8,0,0,0,3,0,0,0.733333333,0,0.266666667,0,4,3.739572262,13,0,0
http://www.ctif.com/version-anglaise/,37,ctif.com,8,0,com,3,1,29,0,8,0,0,0,2,1,0,0.783783784,0,0.216216216,0,4,4.229327352,18,0,0
http://www.mri.bund.de/en/de/,29,bund.de,7,0,de,2,2,20,0,9,0,0,0,3,0,0,0.689655172,0,0.310344828,0,5,3.663870978,7,0,0
http://www.eatechnology.com/,28,eatechnology.com,16,0,com,3,1,22,0,6,0,0,0,2,0,0,0.785714286,0,0.214285714,0,3,3.842370993,1,0,0
http://www.hef.fr/,18,hef.fr,6,0,fr,2,1,12,0,6,0,0,0,2,0,0,0.666666667,0,0.333333333,0,3,3.197159723,1,0,0
http://www.consorziocesit.it/it/index.html,42,consorziocesit.it,17,0,it,2,1,34,0,8,0,0,0,3,0,0,0.80952381,0,0.19047619,0,4,3.978410804,14,0,0
